iter	RMSE
0	11656.85693
1	11314.48581
2	11001.34955
3	10662.66113
4	10346.64479
5	10056.54335
6	9762.896482
7	9497.615267
8	9240.29602
9	8998.960129
10	8766.575493
11	8527.975064
12	8300.696372
13	8085.472054
14	7899.012871
15	7743.376804
16	7571.240121
17	7398.714982
18	7243.564786
19	7125.43042
20	6974.112139
21	6840.300348
22	6699.186483
23	6574.858564
24	6445.2202
25	6325.775582
26	6225.757113
27	6125.764885
28	6027.664715
29	5933.384604
30	5840.820225
31	5757.902617
32	5677.955243
33	5604.529013
34	5543.197026
35	5472.693587
36	5408.485673
37	5344.791599
38	5305.904029
39	5250.558634
40	5196.720259
41	5148.76946
42	5100.694261
43	5059.162416
44	5015.91343
45	4976.839344
46	4944.947476
47	4910.945454
48	4878.370718
49	4846.156488
50	4818.671739
51	4791.330434
52	4763.126567
53	4737.29328
54	4712.07751
55	4684.081078
56	4659.575322
57	4636.544397
58	4615.334271
59	4592.22604
60	4571.986308
61	4553.85091
62	4534.870458
63	4516.090582
64	4502.632828
65	4486.467826
66	4471.59003
67	4456.904527
68	4448.095453
69	4435.015661
70	4422.526197
71	4408.457642
72	4397.506885
73	4386.658129
74	4376.972315
75	4367.595862
76	4357.801985
77	4348.492589
78	4338.407196
79	4328.148623
80	4318.502179
81	4311.929223
82	4304.443501
83	4298.002712
84	4289.70609
85	4282.156055
86	4275.514659
87	4268.29882
88	4260.018772
89	4257.933673
90	4247.826032
91	4242.887338
92	4236.488795
93	4231.736627
94	4226.188385
95	4222.799189
96	4216.161884
97	4210.427647
98	4204.500547
99	4201.524732
100	4197.87569
101	4196.112777
102	4190.653887
103	4187.51947
104	4181.383511
105	4177.446534
106	4170.758399
107	4168.283443
108	4162.93641
109	4160.178806
110	4156.220694
111	4152.491934
112	4148.917755
113	4145.229129
114	4142.59899
115	4139.183726
116	4136.392911
117	4133.028175
118	4131.398507
119	4125.750779
120	4123.443071
121	4121.154172
122	4119.094313
123	4115.852589
124	4112.011005
125	4107.697219
126	4106.159919
127	4103.913108
128	4101.1195
129	4099.427931
130	4096.723505
131	4094.396475
132	4089.105483
133	4085.139063
134	4083.604843
135	4080.907025
136	4078.441412
137	4075.763494
138	4071.816481
139	4070.140842
140	4068.966073
141	4066.114399
142	4063.969789
143	4059.653238
144	4056.717202
145	4053.716455
146	4049.667649
147	4046.819509
148	4043.973048
149	4042.127797
150	4039.55021
151	4035.130026
152	4032.608825
153	4028.185396
154	4025.265674
155	4022.5213
156	4021.511059
157	4016.353323
158	4014.491377
159	4013.333974
160	4008.752978
161	4007.650643
162	4004.667745
163	4001.819005
164	3998.798217
165	3996.281348
166	3994.995703
167	3992.579262
168	3989.836704
169	3986.844315
170	3984.599299
171	3981.506654
172	3977.948496
173	3975.13719
174	3971.826893
175	3967.447344
176	3965.269466
177	3963.567526
178	3959.076647
179	3956.322167
180	3953.621836
181	3951.988155
182	3950.001756
183	3947.34766
184	3945.231508
185	3941.979924
186	3940.851305
187	3935.913819
188	3934.714065
189	3932.594992
190	3931.451854
191	3927.930841
192	3926.523556
193	3921.312607
194	3918.127794
195	3915.251982
196	3910.450467
197	3904.407879
198	3903.357194
199	3899.600405
200	3896.987368
201	3896.38835
202	3891.160973
203	3889.948372
204	3888.0283
205	3885.349389
206	3882.969362
207	3881.864362
208	3881.582861
209	3879.229008
210	3875.913623
211	3872.641721
212	3871.4751
213	3870.804512
214	3868.961299
215	3866.734288
216	3866.48172
217	3863.21677
218	3860.301274
219	3858.778393
220	3853.473076
221	3852.53413
222	3852.064833
223	3851.600668
224	3849.160993
225	3848.297359
226	3847.840756
227	3846.815096
228	3845.005324
229	3844.079793
230	3842.416364
231	3840.02347
232	3837.91665
233	3835.705593
234	3833.547527
235	3832.68745
236	3832.434391
237	3829.506268
238	3825.731319
239	3824.435802
240	3822.538319
241	3821.263379
242	3820.560809
243	3819.401798
244	3815.678966
245	3814.79045
246	3813.156334
247	3812.960737
248	3811.176961
249	3808.393956
250	3805.479669
251	3802.035503
252	3797.910974
253	3795.612901
254	3793.255331
255	3792.356347
256	3789.06302
257	3786.348953
258	3785.098871
259	3782.896316
260	3778.903822
261	3777.235093
262	3775.765699
263	3775.051483
264	3774.257331
265	3773.289085
266	3770.560102
267	3768.879068
268	3767.030753
269	3763.789838
270	3762.022529
271	3759.272032
272	3757.577263
273	3757.185309
274	3756.384961
275	3753.472744
276	3750.897366
277	3749.342925
278	3745.321575
279	3742.410803
280	3741.253173
281	3739.871337
282	3739.479152
283	3735.476388
284	3734.777875
285	3732.496139
286	3730.439464
287	3729.623477
288	3727.005276
289	3723.09957
290	3722.316757
291	3719.962422
292	3718.795566
293	3716.756309
294	3714.286498
295	3711.066939
296	3709.95909
297	3708.516843
298	3707.91015
299	3706.249039
300	3704.098509
301	3702.103666
302	3699.82861
303	3698.18797
304	3695.029719
305	3692.025347
306	3690.771403
307	3686.267931
308	3682.754308
309	3679.721836
310	3678.363704
311	3673.950853
312	3671.009081
313	3670.414746
314	3666.801774
315	3664.908581
316	3663.036099
317	3659.345786
318	3657.587933
319	3655.756848
320	3652.034258
321	3649.294125
322	3646.615629
323	3646.008691
324	3645.586013
325	3644.693851
326	3642.907853
327	3640.205252
328	3638.021174
329	3636.722228
330	3634.182286
331	3633.349968
332	3631.218778
333	3630.683061
334	3628.963415
335	3628.346076
336	3624.885936
337	3624.065968
338	3623.249747
339	3622.315689
340	3621.890325
341	3620.75118
342	3619.564974
343	3617.747754
344	3614.068956
345	3611.860772
346	3611.152802
347	3607.703869
348	3607.269387
349	3606.881969
350	3603.325928
351	3599.264236
352	3595.349811
353	3592.154832
354	3590.488583
355	3586.96624
356	3582.565847
357	3579.133265
358	3578.115077
359	3575.381043
360	3572.833609
361	3568.191636
362	3566.571221
363	3564.120374
364	3561.561518
365	3560.157034
366	3558.563472
367	3556.611472
368	3553.844802
369	3551.644278
370	3551.415861
371	3547.48006
372	3546.511189
373	3545.971775
374	3544.349043
375	3541.529292
376	3541.122996
377	3539.182705
378	3535.651349
379	3534.601559
380	3529.335209
381	3525.866773
382	3521.681008
383	3518.506718
384	3515.194737
385	3512.490198
386	3509.485098
387	3508.126535
388	3504.782931
389	3503.122222
390	3502.624841
391	3501.996681
392	3500.982621
393	3497.90756
394	3496.019741
395	3493.604124
396	3489.347123
397	3488.968948
398	3485.81681
399	3481.701579
400	3478.657512
401	3477.164528
402	3474.079658
403	3473.519312
404	3471.308371
405	3468.73696
406	3467.874142
407	3465.771503
408	3464.702385
409	3462.586315
410	3460.324596
411	3458.735006
412	3457.343198
413	3455.705898
414	3454.373499
415	3451.459523
416	3450.794511
417	3449.271791
418	3446.420305
419	3444.948298
420	3442.012209
421	3439.280139
422	3436.06424
423	3434.370333
424	3432.885416
425	3431.88298
426	3431.250159
427	3429.586495
428	3428.171766
429	3427.722895
430	3426.901901
431	3425.048551
432	3422.756678
433	3419.990432
434	3417.314287
435	3414.747596
436	3413.859265
437	3411.89655
438	3408.785882
439	3408.24178
440	3407.390957
441	3404.635463
442	3402.30656
443	3401.727064
444	3399.416784
445	3398.778655
446	3396.049237
